,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
691,IDCJAC0009,70351,2009,11,22,0.0,,Y
692,IDCJAC0009,70351,2009,11,23,0.0,,Y
693,IDCJAC0009,70351,2009,11,24,1.8,1.0,Y
694,IDCJAC0009,70351,2009,11,25,0.0,,Y
695,IDCJAC0009,70351,2009,11,26,0.0,,Y
696,IDCJAC0009,70351,2009,11,27,10.6,1.0,Y
697,IDCJAC0009,70351,2009,11,28,0.0,,Y
698,IDCJAC0009,70351,2009,11,29,0.0,,Y
699,IDCJAC0009,70351,2009,11,30,2.2,1.0,Y
700,IDCJAC0009,70351,2009,12,1,4.6,1.0,Y
701,IDCJAC0009,70351,2009,12,2,0.0,,Y
702,IDCJAC0009,70351,2009,12,3,0.0,,Y
703,IDCJAC0009,70351,2009,12,4,0.0,,Y
704,IDCJAC0009,70351,2009,12,5,0.0,,Y
705,IDCJAC0009,70351,2009,12,6,0.0,,Y
706,IDCJAC0009,70351,2009,12,7,0.0,,Y
707,IDCJAC0009,70351,2009,12,8,0.0,,Y
708,IDCJAC0009,70351,2009,12,9,12.2,1.0,Y
709,IDCJAC0009,70351,2009,12,10,0.0,,Y
710,IDCJAC0009,70351,2009,12,11,0.0,,Y
711,IDCJAC0009,70351,2009,12,12,0.0,,Y
712,IDCJAC0009,70351,2009,12,13,0.0,,Y
713,IDCJAC0009,70351,2009,12,14,0.0,,Y
714,IDCJAC0009,70351,2009,12,15,0.0,,Y
715,IDCJAC0009,70351,2009,12,16,0.0,,Y
716,IDCJAC0009,70351,2009,12,17,0.0,,Y
